Metric,lr,ridge,dt,rf,et,xgb,lgbm,cat
MAE,1.4738365868252656,1.47378661627963,1.3147619047619048,0.9358809523809521,0.8576523809523809,0.9711976533560526,0.8439368268501031,0.8960669965694247
RMSE,3.403441976634646,3.403866232371664,4.4551201148897475,2.8484573853562343,2.7145470989432017,3.0129326514171395,2.683340835680358,2.7516412862176547
NMAE,0.4337243318852379,0.4337096264275817,0.38691143497757846,0.2754133968609865,0.25239209641255606,0.2858064843116186,0.24835584870869062,0.2636968459635358
R2,0.5247057412628771,0.5245872383558046,0.18558699227319908,0.6670758347812185,0.6976425812893603,0.6275184942690993,0.7045543866274444,0.6893227154800803
