Metric,lr,ridge,dt,rf,et,xgb,lgbm,cat
MAE,1.4630791933210998,1.4625556189118767,1.313,0.9457866666666674,0.8905100000000002,0.9924827896952629,0.8597974735664714,0.8711414094442774
RMSE,3.00115631430897,3.0006028118870445,3.948544035464211,2.55047626924855,2.486890153049252,2.6151970200671992,2.4080189802860468,2.456456096980243
NMAE,0.4395391127541858,0.4393818202218736,0.3944522331263769,0.28413378730222333,0.2675275385539756,0.29816226407828844,0.25830086327853136,0.26170881517452754
R2,0.6068208579760528,0.6069658724413163,0.3194074200369319,0.7160408859787637,0.7300232009416767,0.7014465708224815,0.7468761602107306,0.7365906105787254
