Metric,lr,ridge,dt,rf,et,xgb,lgbm,cat
MAE,1.4630791933210998,1.4590874792219442,1.3403333333333334,0.9493199999999985,0.9058533333333333,0.9034032521645228,0.8508638316948854,0.9681193860923243
RMSE,3.00115631430897,2.9978427063335955,3.9704323861933895,2.551674012617338,2.5066372693311654,2.6218426976652562,2.344623707691233,2.5018339213196956
NMAE,0.4395391127541858,0.43833991965409896,0.40266372922090926,0.28519527338273537,0.27213699178850387,0.27140093696110235,0.2556170133271236,0.29084299602212826
R2,0.6068208579760528,0.6076886050467996,0.3118409149681787,0.7157741201119819,0.7257186845976281,0.699927288885217,0.7600285683293043,0.7267688615229222
