Metric,lr,ridge,dt,rf,et,xgb,lgbm,cat
MAE,1.468961547271823,1.468631019027172,1.1034722222222222,0.8289282579365084,0.878953611111111,0.8822430526316166,0.8268579742969054,0.8638619380571442
RMSE,3.4812821533531277,3.480647263928789,3.758619415078814,2.799285148292627,2.9156027841041596,3.03501169620825,2.7700607856712898,2.8232964299632566
NMAE,0.43792950827938676,0.43783097059341314,0.3289691609526649,0.24712161123020224,0.26203526118784987,0.2630159155216983,0.24650441447786112,0.2575361039621815
R2,0.5506609255394241,0.5508248045932381,0.4762157387469277,0.7094706456348687,0.6848244992372888,0.6584797362726846,0.71550519690584,0.7044651527689403
